name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Pathfinder: Wrath of the Righteous - Enhanced Edition,game,0.0,False,22184,55.99,83.0,Owlcat Games,META Publishing/ Owlcat Games,23665,4490,Adventure/ Indie/ RPG/ Strategy,4008
Resident Evil Village,game,18.0,False,64838,28.49,83.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,91277,4038,Action,985
NARAKA: BLADEPOINT,game,0.0,True,166945,0.0,0.0,24 Entertainment,NetEase Games Global,125742,65451,Action/ Adventure/ Massively Multiplayer,192346
Builders of Egypt: Prologue,game,0.0,True,0,0.0,0.0,Strategy Labs,Strategy Labs/ PlayWay S.A./ CreativeForge Games,2888,1039,Free to Play/ Indie/ Simulation/ Early Access,11
Mr. Sun's Hatbox,game,0.0,False,207,16.46,0.0,Kenny Sun,Raw Fury,212,31,Action/ Indie,6
Gunfire Reborn,game,0.0,False,75913,28.95,0.0,Duoyi Games,Duoyi Games,82851,5409,Action/ Adventure/ Indie/ RPG,4292
Detroit: Become Human,game,0.0,False,74817,29.99,80.0,Quantic Dream,Quantic Dream,82143,4953,Action/ Adventure,1429
A Way Out,game,0.0,False,31752,7.99,78.0,Hazelight,Electronic Arts,43037,5948,Action/ Adventure/ Indie,1295
NBA 2K21,game,0.0,False,28395,0.0,0.0,Visual Concepts,2K,16302,22933,Simulation/ Sports,567
ULTRAKILL,game,0.0,False,63540,35.95,0.0,"Arsi ""Hakita"" Patala",New Blood Interactive,68909,1222,Action/ Indie/ Early Access,2213
Halo Infinite,game,0.0,True,27749,0.0,0.0,343 Industries,Xbox Game Studios,112041,48064,Action/ Free to Play,4773
ELDEN RING,game,0.0,False,519504,89.95,94.0,FromSoftware Inc.,FromSoftware Inc./ Bandai Namco Entertainment,636852,55198,Action/ RPG,39123
Farming Simulator 22,game,0.0,False,36776,42.99,0.0,Giants Software,Giants Software,46049,4556,Simulation,32470
Microsoft Flight Simulator 40th Anniversary Edition,game,0.0,False,47007,99.95,91.0,Asobo Studio,Xbox Game Studios,38364,10722,Simulation,7570
Bless Unleashed,game,0.0,True,205,0.0,0.0,VALOFE,VALOFE,15588,14378,Action/ Free to Play/ Massively Multiplayer/ RPG,761
Shop Titans,game,0.0,True,0,0.0,0.0,Kabam Games/ Inc.,Kabam Games/ Inc.,10964,3044,Adventure/ Casual/ Free to Play/ RPG/ Simulation,5116
Days Gone,game,0.0,False,43936,74.95,0.0,Bend Studio,PlayStation PC LLC,59690,4640,Action/ Adventure,2921
eFootball PES 2021 SEASON UPDATE,game,0.0,False,20661,0.0,0.0,Konami Digital Entertainment,Konami Digital Entertainment,28346,8727,Sports,2340
Football Manager 2021,game,0.0,False,14291,0.0,0.0,Sports Interactive,SEGA,22202,1563,Simulation/ Sports,4325
DEVOUR,game,0.0,False,48996,7.5,0.0,Straight Back Games,Straight Back Games,58470,5242,Indie,1307
Monster Hunter Stories 2: Wings of Ruin,game,0.0,False,9914,29.47,82.0,CAPCOM Co./ Ltd.,CAPCOM Co./ Ltd.,11910,2540,Adventure/ RPG,331
Loop Hero,game,0.0,False,29270,21.95,0.0,Four Quarters,Devolver Digital,29318,2086,Indie/ RPG/ Strategy,384
Guild Wars 2,game,0.0,True,153,0.0,90.0,ArenaNet®,NCSOFT,9245,1213,Adventure/ Free to Play/ Massively Multiplayer/ RPG,4205
GWENT: The Witcher Card Game,game,0.0,True,0,0.0,80.0,CD PROJEKT RED,CD PROJEKT RED,21923,4903,Free to Play/ RPG/ Strategy,969
Tiny Tina's Wonderlands,game,0.0,False,9072,29.68,0.0,Gearbox Software,2K,9012,2681,Action/ Adventure/ RPG,2780
Helltaker,game,0.0,True,386,0.0,0.0,vanripper,vanripper,110583,2373,Adventure/ Free to Play/ Indie,131
